,experiment,hour,device_make,yes,day,platform_os_5.0,platform_os_6.0
4115,0,7,13,1,3,0,1
4124,1,5,13,0,6,0,1
4129,1,20,34,0,2,0,1
4133,0,21,13,0,0,0,1
4142,0,7,13,0,0,0,1
4145,1,2,69,1,2,0,1
4154,1,6,13,0,4,0,1
4156,0,11,13,1,6,0,1
4157,0,7,13,1,0,0,1
4164,1,20,13,1,3,0,1
4166,0,7,13,0,0,0,1
4168,0,10,43,1,6,0,1
4172,1,12,13,1,1,0,1
4207,1,6,13,1,0,0,1
4229,1,22,62,1,0,0,1
4239,1,2,13,0,4,0,1
4241,1,8,13,1,6,0,1
4243,1,17,13,0,6,0,1
4245,1,19,114,0,6,1,0
4250,1,4,13,0,4,0,1
4277,0,20,68,1,2,0,1
4285,0,23,13,0,1,0,1
4294,0,0,66,0,0,0,1
4296,0,13,13,1,4,0,1
4297,1,21,13,0,0,0,1
4303,1,21,15,1,0,0,1
4308,0,8,64,1,6,0,1
4309,0,7,13,1,0,0,1
4338,1,8,13,1,3,0,1
4340,1,7,13,1,0,0,1
4344,1,2,19,1,1,0,1
4345,1,1,13,0,0,0,1
4353,1,23,0,1,0,0,1
4355,1,6,94,0,0,0,1
4360,1,6,13,0,2,0,1
4361,1,10,81,1,4,0,1
4362,1,6,13,0,2,0,1
4363,0,7,46,0,0,0,1
4374,0,7,93,0,0,0,1
4375,1,19,13,0,4,0,1
4393,1,1,13,0,0,0,1
4401,0,21,13,1,3,0,1
4403,1,21,13,0,3,0,1
4405,0,7,47,0,6,0,1
4412,1,10,13,0,6,0,1
4415,1,2,21,1,2,0,1
4449,1,13,13,1,6,0,1
4455,1,2,13,0,2,0,1
4462,1,15,13,1,6,0,1
4463,1,23,48,0,2,0,1
4473,1,23,61,0,5,0,1
4483,0,14,13,1,4,0,1
4487,1,18,13,0,5,0,1
4490,1,7,24,1,6,0,1
4492,0,5,77,0,4,0,1
4494,0,7,48,1,0,0,1
4498,1,19,13,1,0,0,1
4501,0,7,72,0,0,0,1
4510,1,2,9,0,0,0,1
4512,1,19,13,0,1,0,1
4516,1,2,19,0,3,0,1
4529,0,3,13,0,2,0,1
4532,1,7,13,1,4,0,1
4545,1,7,13,1,0,0,1
4551,0,7,13,0,0,0,1
4553,1,1,13,0,1,0,1
4558,0,7,13,0,0,0,1
4565,1,18,13,0,3,0,1
4579,0,7,13,0,0,0,1
4581,1,19,13,1,6,0,1
4582,1,6,13,1,6,0,1
4583,0,7,68,0,0,0,1
4594,1,23,43,1,0,0,1
4598,0,7,13,1,0,0,1
4601,0,2,22,0,5,0,1
